================ Coverage for /Users/shurtj/Development/khoros/ ================
------------------------------ Detailed Coverage -------------------------------
| Name                                                                  |  Status |
|   get_followers_count (L631)                                          | COVERED |
|   get_following_count (L651)                                          | COVERED |
|   get_images_count (L671)                                             | COVERED |
|   get_public_images_count (L691)                                      | COVERED |
|   get_messages_count (L711)                                           | COVERED |
|   get_roles_count (L731)                                              | COVERED |
|   get_solutions_authored_count (L751)                                 | COVERED |
|   get_topics_count (L771)                                             | COVERED |
|   get_replies_count (L791)                                            | COVERED |
|   get_videos_count (L814)                                             | COVERED |
|   get_kudos_given_count (L834)                                        | COVERED |
|   get_kudos_received_count (L854)                                     | COVERED |
|   get_online_user_count (L874)                                        | COVERED |
|   get_registration_data (L887)                                        | COVERED |
|   get_registration_timestamp (L908)                                   | COVERED |
|   get_registration_status (L929)                                      | COVERED |
|   get_last_visit_timestamp (L949)                                     | COVERED |
|   structure_user_dict_list (L971)                                     | COVERED |
|   get_ids_from_login_list (L1019)                                     | COVERED |
|-----------------------------------------------------------------------|---------|
| khoros/structures/__init__.py (module)                                | COVERED |
|-----------------------------------------------------------------------|---------|
| khoros/structures/base.py (module)                                    | COVERED |
|   get_details (L16)                                                   | COVERED |
|   get_structure_id (L75)                                              | COVERED |
|   _check_url_for_identifier (L97)                                     | COVERED |
|   limit_to_first_child (L125)                                         | COVERED |
|   get_structure_field (L138)                                          | COVERED |
|   is_category_url (L187)                                              | COVERED |
|   is_node_url (L202)                                                  | COVERED |
|   verify_structure_type (L217)                                        | COVERED |
|   get_structure_type_from_url (L253)                                  | COVERED |
|   Mapping (L273)                                                      | COVERED |
|-----------------------------------------------------------------------|---------|
| khoros/structures/boards.py (module)                                  | COVERED |
|   create (L21)                                                        | COVERED |
|   structure_payload (L136)                                            | COVERED |
|   _structure_id_and_title (L265)                                      | COVERED |
|   _structure_discussion_style (L289)                                  | COVERED |
|   _structure_parent_category (L314)                                   | COVERED |
|   _structure_simple_fields (L332)                                     | COVERED |
|   _structure_label_settings (L349)                                    | COVERED |
|   _structure_blog_settings (L400)                                     | COVERED |
|   _structure_contest_settings (L436)                                  | COVERED |
|   _warn_about_ignored_settings (L459)                                 | COVERED |
|   get_board_id (L478)                                                 | COVERED |
|-----------------------------------------------------------------------|---------|
| khoros/structures/categories.py (module)                              | COVERED |
|   create (L18)                                                        | COVERED |
|   get_category_id (L46)                                               | COVERED |
|   get_total_count (L60)                                               | COVERED |
|   get_total_category_count (L73)                                      | COVERED |
|   get_category_details (L90)                                          | COVERED |
|   get_category_field (L109)                                           | COVERED |
|   get_url (L132)                                                      | COVERED |
|   get_title (L155)                                                    | COVERED |
|   get_description (L189)                                              | COVERED |
|   get_parent_type (L209)                                              | COVERED |
|   get_parent_id (L229)                                                | COVERED |
|   get_parent_url (L249)                                               | COVERED |
|   get_root_type (L269)                                                | COVERED |
|   get_root_id (L289)                                                  | COVERED |
|   get_root_url (L309)                                                 | COVERED |
|   get_language (L329)                                                 | COVERED |
|   is_hidden (L349)                                                    | COVERED |
|   get_views (L369)                                                    | COVERED |
|   friendly_date_enabled (L389)                                        | COVERED |
|   get_friendly_date_max_age (L409)                                    | COVERED |
|   get_active_skin (L429)                                              | COVERED |
|   get_depth (L449)                                                    | COVERED |
|   get_position (L469)                                                 | COVERED |
|   get_creation_date (L489)                                            | COVERED |
|-----------------------------------------------------------------------|---------|
| khoros/structures/communities.py (module)                             | COVERED |
|   get_community_details (L17)                                         | COVERED |
|   _check_for_multiple_tenants (L32)                                   | COVERED |
|   get_community_field (L47)                                           | COVERED |
|   get_tenant_id (L66)                                                 | COVERED |
|   get_title (L81)                                                     | COVERED |
|   get_description (L110)                                              | COVERED |
|   get_primary_url (L125)                                              | COVERED |
|   get_max_attachments (L140)                                          | COVERED |
|   get_permitted_attachment_types (L155)                               | COVERED |
|   email_confirmation_required_to_post (L170)                          | COVERED |
|   get_language (L185)                                                 | COVERED |
|   get_ooyala_player_branding_id (L200)                                | COVERED |
|   get_date_pattern (L221)                                             | COVERED |
|   friendly_date_enabled (L236)                                        | COVERED |
|   get_friendly_date_max_age (L251)                                    | COVERED |
|   get_active_skin (L266)                                              | COVERED |
|   get_sign_out_url (L281)                                             | COVERED |
|   get_creation_date (L296)                                            | COVERED |
|   top_level_categories_enabled (L312)                                 | COVERED |
|   show_community_node_in_breadcrumb (L327)                            | COVERED |
|   show_breadcrumb_at_top_level (L342)                                 | COVERED |
|   top_level_categories_on_community_page (L357)                       | COVERED |
|-----------------------------------------------------------------------|---------|
| khoros/structures/grouphubs.py (module)                               | COVERED |
|   create (L22)                                                        | COVERED |
|   _create_group_hub_with_avatar (L109)                                | COVERED |
|   _create_group_hub_without_avatar (L131)                             | COVERED |
|   structure_payload (L151)                                            | COVERED |
|   _structure_simple_string_fields (L211)                              | COVERED |
|   _structure_membership_type (L233)                                   | COVERED |
|   _structure_discussion_styles (L266)                                 | COVERED |
|   _remove_disabled_discussion_styles (L329)                           | COVERED |
|   _structure_parent_category (L344)                                   | COVERED |
|   get_total_count (L361)                                              | COVERED |
|   get_grouphub_id (L373)                                              | COVERED |
|   refresh_enabled_discussion_styles (L386)                            | COVERED |
|   _verify_group_hub_id (L402)                                         | COVERED |
|   _structure_empty_payload (L421)                                     | COVERED |
|   update_title (L431)                                                 | COVERED |
|-----------------------------------------------------------------------|---------|
| khoros/structures/nodes.py (module)                                   | COVERED |
|   get_node_id (L18)                                                   | COVERED |
|   _get_node_type_identifier (L52)                                     | COVERED |
|   get_node_type_from_url (L67)                                        | COVERED |
|   get_total_node_count (L85)                                          | COVERED |
|   get_node_details (L96)                                              | COVERED |
|   get_node_field (L115)                                               | COVERED |
|   get_url (L144)                                                      | COVERED |
|   get_type (L169)                                                     | COVERED |
|   get_discussion_style (L189)                                         | COVERED |
|   get_title (L209)                                                    | COVERED |
|   get_description (L243)                                              | COVERED |
|   get_parent_type (L263)                                              | COVERED |
|   get_parent_id (L283)                                                | COVERED |
|   get_parent_url (L308)                                               | COVERED |
|   get_root_type (L329)                                                | COVERED |
|   get_root_id (L349)                                                  | COVERED |
|   get_root_url (L374)                                                 | COVERED |
|   get_avatar_url (L396)                                               | COVERED |
|   get_creation_date (L438)                                            | COVERED |
|   get_depth (L465)                                                    | COVERED |
|   get_position (L485)                                                 | COVERED |
|   is_hidden (L505)                                                    | COVERED |
|   get_views (L525)                                                    | COVERED |
|   Mapping (L545)                                                      | COVERED |
|-----------------------------------------------------------------------|---------|
| khoros/studio/__init__.py (module)                                    | COVERED |
|-----------------------------------------------------------------------|---------|
| khoros/studio/base.py (module)                                        | COVERED |
|   sdk_installed (L14)                                                 | COVERED |
|   get_sdk_version (L29)                                               | COVERED |
|   node_installed (L45)                                                | COVERED |
|   get_node_version (L56)                                              | COVERED |
|   npm_installed (L72)                                                 | COVERED |
|   get_npm_version (L83)                                               | COVERED |
|-----------------------------------------------------------------------|---------|
| khoros/utils/__init__.py (module)                                     | COVERED |
|-----------------------------------------------------------------------|---------|
| khoros/utils/core_utils.py (module)                                   | COVERED |
|   url_encode (L23)                                                    | COVERED |
|   url_decode (L33)                                                    | COVERED |
|   decode_html_entities (L43)                                          | COVERED |
|   decode_binary (L53)                                                 | COVERED |
|   run_cmd (L65)                                                       | COVERED |
|   _is_zero_length (L118)                                              | COVERED |
|   _structure_query_string (L127)                                      | COVERED |
|   encode_query_string (L148)                                          | COVERED |
|   is_numeric (L164)                                                   | COVERED |
|   convert_set (L176)                                                  | COVERED |
|   convert_single_value_to_tuple (L192)                                | COVERED |
|   convert_string_to_tuple (L202)                                      | COVERED |
|   get_random_string (L215)                                            | COVERED |
|   display_warning (L227)                                              | COVERED |
|   get_file_type (L240)                                                | COVERED |
|   convert_dict_id_values_to_strings (L273)                            | COVERED |
|   convert_list_values (L292)                                          | COVERED |
|   extract_key_values_from_dict_list (L325)                            | COVERED |
|-----------------------------------------------------------------------|---------|
| khoros/utils/environment.py (module)                                  | COVERED |
|   _env_variable_exists (L42)                                          | COVERED |
|   _get_env_variable_value (L59)                                       | COVERED |
